property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
גג/ פנטהאוז,נוה שאנן,הגדוד העברי 59,3.0,6,156,62,,12,,,6,"פנטהאוז-דופלקס בבניין בן 3 שנים, קומות 5+6.
דירה מושקעת, מוארת ומעוצבת
בקומה העליונה סלון רחב ומטבח, שירותי אורחים ויציאה למרפסת גג 58 מ""ר (ששייכת רק לדירה הזו) עם פרגולה.
בקומה התחתונה שני חדרים - אחד מאסטר אחד ממ""ד, שני חדרי שירותים+מקלחת, מרפסת 4 מ""ר מחדר השינה מאסטר, פרקט מעץ מלא בכל הקומה התחתונה.
נישת שירות לכביסה ומייבש.
יש חדר ארונות מנגרות בחדר שינה מאסטר ופרטי נגרות בסלון.
יש חניה בבניין",1,0,1,1,0,0,1,1,0,1,9000.0,10,3337.0
דירה,נוה שאנן,בני ברק 17,3.0,5,65,0,,12,280,,6,"דירה מרוהטת לחלוטין. חדשה מקבלן- בעל הדירה התגורר בה פחות משנתיים. שני חדרי שינה, ממד. מלאה באור ואוויר. בניין חדש ומתוחזק ברמה גבוהה , נעול עם קודן. מעלית . 
להיכנס לדירה עם מזוודה וליהנות.",1,0,1,1,1,0,1,1,1,0,6000.0,10,7627.0
דופלקס,נוה שאנן,ארלינג'ר 13,3.0,6,75,0,0,12,,,6,"פנטהאוז דופלקס בהזדמנות!!!
בבנין חדש מהניילונים ברח' ארלינג'ר בתל אביב.
כניסה נפרדת לכל קומה.
3 חדרים + 2 מרפסות ענקיות.
2 שירותים ומקלחות.
ממוזגת כולה.
חניה מקורה.
7,000 ש""ח לכניסה מיידית.
ללא תיווך",1,0,1,1,1,0,1,1,0,0,7000.0,5,3074.0
דירה,נוה שאנן,הגדוד העברי 18,2.5,3,60,0,,12,,,5,דירה בת שלוש שנים במרחק הליכה משוק לוינסקי ומרוטשילד.הבניין נקי ומתוחזק בצורה יוצאת דופן.בדירה מרפסת מקסימה לכיוון מערב עם בריזה מטורפת.הדירה מרווחת ומתאימה לזוג או יחיד. כל הדירה ממוזגת.הדירה כוללת חניה לרכב אחד. ללא תיווך,1,0,1,1,0,0,1,1,0,0,6500.0,10,3048.0
דירה,נוה שאנן,י.ל. פרץ 40,2.5,2,66,0,0,12,250,390,5,"מיקום מרכזי 8 דק מרוטשילד, 2 דק מצלנוב. דיירים ברובם צעירים כניסה לבעלי ציפים בלבד, חניה תתקרקעית מבוקרת.מרפסת שמש. בנין חדש.
סמוך למרכזי קניות וחנות 24/7
מתוחזקת בחברת אחזקה",1,1,1,1,1,0,1,1,1,0,5400.0,5,3207.0
דירה,נוה שאנן,עין הקורא 13,2.0,3,53,0,,12,200,300,6,"בתל אביב בשכונת נוה שאנן המתפתחת ברח' עין הקורא 13 , 5 דקות מאיילון, 5 דקות מתחנה מרכזית, דירת 2 חדרים עורפית שקטה ומקסימה + מרפסת, קומה 3 כ 53 מ""ר, חניית מכפילים, מעלית, מחסן. מחיר חודשי 5100 שח, דרושים ערבים/בטחונות, לפרטים נוספים או תיאום הגעה לראות את הדירה  לפנות לאורית",1,1,1,1,1,0,1,1,0,0,5100.0,6,17288.0
דירה,נוה שאנן,מטלון 78,2.0,3,50,0,0,12,150,550,6,"בניין חדש ומפואר עם ממ״ד , חניה פרטית , מרפסת שמש, מזגן, כיריים אינדוקציה ותנור.  דירה מתוקה ומוארת.",1,0,1,1,0,0,1,1,0,0,5700.0,5,3515.0
כללי,נוה שאנן,נוה שאנן 6,1.0,0,30,0,0,12,700,,0,,0,1,0,1,0,0,0,0,0,0,6000.0,10,3801.0
דירה,נוה שאנן,מסילת העולים 8,2.0,4,52,0,,12,358,630,6,"הבניין חדש וממוקם ברחוב שקט בשכונת פלורנטין, הדירה מרוהטת.",1,0,1,1,0,0,1,1,1,0,6900.0,13,3542.0
דירה,נוה שאנן,ארלינג'ר 13,3.0,4,58,0,0,12,,,6,"בבנין בוטיק חדש!! באזור מתפתח ומבוקש!!
דירה מהממת שמתוכננת היטב ,3 חדרים 50 מ""ר +מ""ש+חניה פרטית,יש ממ""ד ,מתאימה לשותפים !! עורפית ,מזגן מרכזי,אינטרקום עם קודן ומצלמה בכניסה. 
10 דקות מרוטשילד,קרובה ליציאה לאיילון ,למקומות בילוי ,תחבורה ציבורית ולרכבת.
כניסה מיידית",1,0,1,1,0,0,1,1,0,1,5000.0,4,3074.0
